type,date,year,month,day,observation_number,track,latitude,longitude,amplitude,speed_average,effective_radius,lat_origin,long_origin
cyclonic,1997-07-14,1997,7,14,405,103169,33.7493074205187,-73.6155621563947,0.253051851851852,0.617933333333333,0.601726839350602,36.1197052001953,-63.8215026855469
cyclonic,1996-06-16,1996,6,16.5,11.5,103243,32.1562768618266,-66.3447507222494,0.064175,0.205658333333333,0.604935493549355,32.3235130310059,-65.7584838867188
cyclonic,1996-06-17,1996,6,17.5,12.5,103246,29.4559903511634,-71.6078479473408,0.0776769230769231,0.268080769230769,0.694886796371945,29.3613872528076,-71.0256042480469
cyclonic,1996-07-04,1996,7,4,29,103246,28.9619434901646,-72.690678187779,0.0369857142857143,0.262471428571429,0.352192362093352,29.3613872528076,-71.0256042480469
cyclonic,1996-06-15,1996,6,15,7,103505,31.3179047902425,-68.2863098144531,0.0278333333333333,0.15288,0.408130813081308,31.4193153381348,-68.0302429199219
cyclonic,1996-08-31,1996,8,31,82,103637,28.0042953491211,-54.2246704101563,0.0609,0.1678,1.11386138613861,29.3579845428467,-52.4593811035156
cyclonic,1996-09-13,1996,9,13.6,95.6,103637,27.9065216064453,-54.4605432128906,0.084052,0.192048,1.16579657965797,29.3579845428467,-52.4593811035156
cyclonic,1996-10-15,1996,10,15.6363636363636,127.636363636364,103637,27.8222916342995,-55.2928938432173,0.07055,0.19515,0.988155633745193,29.3579845428467,-52.4593811035156
cyclonic,1996-11-15,1996,11,15.5,158.5,103637,28.0260177612305,-56.9783009847005,0.104856666666667,0.205976666666667,1.29122412241224,29.3579845428467,-52.4593811035156
cyclonic,1996-12-16,1996,12,16,189,103637,27.9929920319588,-58.2386888073337,0.0764967741935484,0.171767741935484,1.18059870503179,29.3579845428467,-52.4593811035156
cyclonic,1997-01-16,1997,1,16,220,103637,28.1379644947667,-58.9867868731099,0.0603516129032258,0.168538709677419,0.834020498824076,29.3579845428467,-52.4593811035156
